id,assignment_datetime,booking_date,direction,date_of_departure,pick_up_datetime,pick_up_lat,pick_up_long,drop_off_datetime,drop_off_lat,drop_off_long,operator,driver,vehicle,price,sold
0,,2022-01-01,MSP->Home,2022-02-19,2022-02-19 05:40:12,44.88747,-93.20126,2022-02-19 07:17:54,44.025709045483914,-94.00179521378499,New Booking,-1,-1,0.0,True
1,,2022-01-01,Home->MSP,2022-01-06,2022-01-06 08:04:24,46.473226595405734,-94.24419009785306,2022-01-06 10:39:00,44.88747,-93.20126,New Booking,-1,-1,0.0,True
2,,2022-01-01,MSP->Home,2022-01-07,2022-01-07 05:30:36,44.88747,-93.20126,2022-01-07 07:53:24,44.08020612269043,-91.2691040735424,New Booking,-1,-1,0.0,True
3,,2022-01-01,Home->MSP,2022-02-07,2022-02-07 10:13:00,45.41125434476718,-93.6456345414235,2022-02-07 11:16:48,44.88747,-93.20126,New Booking,-1,-1,0.0,True
4,,2022-01-01,MSP->Home,2022-06-07,2022-06-07 20:19:12,44.88747,-93.20126,2022-06-07 21:23:00,45.41125434476718,-93.6456345414235,New Booking,-1,-1,0.0,True
5,,2022-01-01,Home->MSP,2022-03-16,2022-03-16 10:47:18,44.833587557682776,-93.00237995315749,2022-03-16 11:14:24,44.88747,-93.20126,New Booking,-1,-1,0.0,True
6,,2022-01-01,MSP->Home,2022-06-04,2022-06-04 20:19:12,44.88747,-93.20126,2022-06-04 20:46:18,44.833587557682776,-93.00237995315749,New Booking,-1,-1,0.0,True
7,,2022-01-01,Home->MSP,2022-01-16,2022-01-16 08:06:48,46.901102195146784,-92.24682571721993,2022-01-16 11:11:24,44.88747,-93.20126,New Booking,-1,-1,0.0,True
8,,2022-01-01,MSP->Home,2022-01-18,2022-01-18 20:10:12,44.88747,-93.20126,2022-01-18 23:14:48,46.901102195146784,-92.24682571721993,New Booking,-1,-1,0.0,True
9,,2022-01-01,Home->MSP,2022-05-01,2022-05-01 18:37:30,44.797311161602224,-93.49690131257998,2022-05-01 19:10:48,44.88747,-93.20126,New Booking,-1,-1,0.0,True
10,,2022-01-01,Home->MSP,2022-03-07,2022-03-07 18:02:24,44.96939832551208,-93.20985328014555,2022-03-07 18:24:00,44.88747,-93.20126,New Booking,-1,-1,0.0,True
11,,2022-01-01,MSP->Home,2022-03-21,2022-03-21 20:24:00,44.88747,-93.20126,2022-03-21 20:45:36,44.96939832551208,-93.20985328014555,New Booking,-1,-1,0.0,True
12,,2022-01-01,MSP->Home,2022-01-29,2022-01-29 05:55:48,44.88747,-93.20126,2022-01-29 08:31:06,43.78810249637289,-91.29027629047485,New Booking,-1,-1,0.0,True
13,,2022-01-01,Home->MSP,2022-03-17,2022-03-17 16:55:18,43.78810249637289,-91.29027629047485,2022-03-17 19:30:36,44.88747,-93.20126,New Booking,-1,-1,0.0,True
14,,2022-01-01,Home->MSP,2022-01-30,2022-01-30 11:20:12,44.882245536727254,-93.21294943382281,2022-01-30 11:36:00,44.88747,-93.20126,New Booking,-1,-1,0.0,True
15,,2022-01-01,Home->MSP,2022-01-01,2022-01-01 09:35:24,44.86719956479951,-93.13222198877445,2022-01-01 09:54:36,44.88747,-93.20126,New Booking,-1,-1,0.0,True
16,,2022-01-01,MSP->Home,2022-03-26,2022-03-26 23:31:12,44.88747,-93.20126,2022-03-26 23:50:24,44.86719956479951,-93.13222198877445,New Booking,-1,-1,0.0,True
17,,2022-01-01,Home->MSP,2022-02-24,2022-02-24 08:28:18,46.50243144851046,-94.18206839345784,2022-02-24 11:03:36,44.88747,-93.20126,New Booking,-1,-1,0.0,True
18,,2022-01-01,MSP->Home,2022-04-21,2022-04-21 00:56:24,44.88747,-93.20126,2022-04-21 03:31:42,46.50243144851046,-94.18206839345784,New Booking,-1,-1,0.0,True
19,,2022-01-01,MSP->Home,2022-03-15,2022-03-15 01:51:36,44.88747,-93.20126,2022-03-15 03:43:48,44.83529919520281,-91.48886014965908,New Booking,-1,-1,0.0,True
20,,2022-01-01,Home->MSP,2022-02-15,2022-02-15 10:49:42,45.742653779469414,-94.14318250124784,2022-02-15 12:31:12,44.88747,-93.20126,New Booking,-1,-1,0.0,True
21,,2022-01-01,MSP->Home,2022-01-12,2022-01-12 04:08:24,44.88747,-93.20126,2022-01-12 04:33:30,44.923333862974026,-93.02974561152124,New Booking,-1,-1,0.0,True
22,,2022-01-01,Home->MSP,2022-03-17,2022-03-17 18:55:24,44.98794387016321,-93.17047626288341,2022-03-17 19:18:36,44.88747,-93.20126,New Booking,-1,-1,0.0,True
23,,2022-01-01,MSP->Home,2022-03-27,2022-03-27 00:40:12,44.88747,-93.20126,2022-03-27 01:03:24,44.98794387016321,-93.17047626288341,New Booking,-1,-1,0.0,True
24,,2022-01-01,Home->MSP,2022-02-11,2022-02-11 10:49:24,44.652504746403494,-93.04317572846294,2022-02-11 11:25:12,44.88747,-93.20126,New Booking,-1,-1,0.0,True
25,,2022-01-01,MSP->Home,2022-02-23,2022-02-23 21:16:12,44.88747,-93.20126,2022-02-23 21:52:00,44.652504746403494,-93.04317572846294,New Booking,-1,-1,0.0,True
26,,2022-01-01,Home->MSP,2022-03-17,2022-03-17 11:54:12,44.090908518776835,-94.10471288991931,2022-03-17 13:31:12,44.88747,-93.20126,New Booking,-1,-1,0.0,True
27,,2022-01-01,MSP->Home,2022-01-28,2022-01-28 11:46:48,44.88747,-93.20126,2022-01-28 14:15:42,46.481221531507636,-93.93096606040395,New Booking,-1,-1,0.0,True
28,,2022-01-01,Home->MSP,2022-01-20,2022-01-20 18:10:24,44.712969985534166,-93.44321592907907,2022-01-20 18:45:00,44.88747,-93.20126,New Booking,-1,-1,0.0,True
29,,2022-01-01,MSP->Home,2022-06-30,2022-06-30 02:53:24,44.88747,-93.20126,2022-06-30 03:28:00,44.712969985534166,-93.44321592907907,New Booking,-1,-1,0.0,True
30,,2022-01-01,MSP->Home,2022-01-14,2022-01-14 22:23:24,44.88747,-93.20126,2022-01-14 23:09:42,44.971161654116635,-93.74118247875177,New Booking,-1,-1,0.0,True
31,,2022-01-01,Home->MSP,2022-02-09,2022-02-09 10:16:36,44.97051211099209,-93.32847576355711,2022-02-09 10:41:24,44.88747,-93.20126,New Booking,-1,-1,0.0,True
32,,2022-01-01,MSP->Home,2022-05-01,2022-05-01 19:23:24,44.88747,-93.20126,2022-05-01 19:48:12,44.97051211099209,-93.32847576355711,New Booking,-1,-1,0.0,True
33,,2022-01-01,Home->MSP,2022-02-15,2022-02-15 09:00:00,44.83347797846547,-91.47861694334814,2022-02-15 10:52:48,44.88747,-93.20126,New Booking,-1,-1,0.0,True
34,,2022-01-01,Home->MSP,2022-01-24,2022-01-24 11:44:06,46.84974800683962,-92.26992270620697,2022-01-24 14:44:24,44.88747,-93.20126,New Booking,-1,-1,0.0,True
